gene	uniprot	locus_tag	organism	refseq_genome	ss_type	sys_instance_id	evidence_level	primary_ref
# Pseudomonas aeruginosa PAO1 — H1, H2, H3 T6SS clusters. RefSeq NC_002516.2.
Tse1	Q9I2Q1	PA1844	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1038/nature10244
Tse2	Q9I0E0	PA2702	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1038/nature10244
Tse3	Q9HYC5	PA3484	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1038/nature10244
Tse4	Q9I069	PA2774	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1371/journal.ppat.1005735
Tse5_RhsP1	Q9I0F4	PA2684	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1073/pnas.1814181115
Tse6	Q9I739	PA0093	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1038/nsmb.3025
Tse7	Q9I733	PA0099	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1073/pnas.1814181115
VgrG1a	Q9I741	PA0091	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1126/science.1128393
VgrG1b	Q9I737	PA0095	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1073/pnas.1814181115
VgrG1c	-	PA2685	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1073/pnas.1814181115
TseT_H1	-	PA0820	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1126/sciadv.aav0024
TseV_H1	-	PA0822	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H1-T6SS	validated	10.1126/sciadv.aav0024
RhsP2	-	PA3905	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H2-T6SS	predicted	10.1042/BCJ20240220
PldA_Tle5a	Q9HYC2	PA3487	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H2-T6SS	validated	10.1016/j.chom.2014.07.004
Tle1	-	PA3290	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H2-T6SS	validated	10.1038/nature11600
Tle3	Q9I6M9	PA0260	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H2-T6SS	validated	10.3389/fmicb.2019.01218
Tla3	-	PA0259	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H2-T6SS	validated	10.3389/fmicb.2019.01218
Tle4	-	PA1510	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H2-T6SS	validated	10.1038/nature11600
VgrG2a	-	PA1511	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H2-T6SS	validated	10.3389/fcimb.2016.00061
VgrG2b	Q9I6M7	PA0262	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H2-T6SS	validated	10.1126/scisignal.2004114
TplE_alias_Tle4	-	PA1510	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H2-T6SS	validated	10.1016/j.celrep.2016.07.020
PAAR4_H2	-	PA3904	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H2-T6SS	validated	10.1038/s41564-018-0144-4
TecT_chaperone	-	PA3905	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H2-T6SS	validated	10.1038/s41564-018-0144-4
PldB_Tle5b	-	PA5089	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H3-T6SS	validated	10.1016/j.chom.2014.07.004
TseF	-	PA2374	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H3-T6SS	validated	10.1038/nmicrobiol.2017.70
Azu	P00282	PA4922	Pseudomonas aeruginosa PAO1	NC_002516.2	T6SS	H3-T6SS	validated	10.1038/nmicrobiol.2017.70
# Burkholderia thailandensis E264 — 5 T6SS clusters. RefSeq NC_007651 (chr I) + NC_007650 (chr II). T6SS-1 antibacterial; T6SS-5 anti-eukaryotic.
TseA_T6SS1	-	BTH_I2691	Burkholderia thailandensis E264	NC_007651.1	T6SS	T6SS-1	validated	10.1371/journal.ppat.1001068
TseB_T6SS1	-	BTH_I2692	Burkholderia thailandensis E264	NC_007651.1	T6SS	T6SS-1	validated	10.1371/journal.ppat.1001068
