gene	uniprot	locus_tag	organism	refseq_genome	ss_type	sys_instance_id	evidence_level	primary_ref
BepA	Q6G2A9	BH13370	Bartonella henselae Houston-1	NC_005956.1	T4SS	VirB-Bep	validated	10.1126/science.1239671
BepB	A0A0R4J835	BH13390	Bartonella henselae Houston-1	NC_005956.1	T4SS	VirB-Bep	validated	10.1126/science.1239671
BepC	A0A0R4J7V3	BH13400	Bartonella henselae Houston-1	NC_005956.1	T4SS	VirB-Bep	validated	10.1073/pnas.2310348121
BepD	A0A0R4J6P7	BH13410	Bartonella henselae Houston-1	NC_005956.1	T4SS	VirB-Bep	validated	10.1371/journal.ppat.1004187
BepE	A0A0R4J6H0	BH13420	Bartonella henselae Houston-1	NC_005956.1	T4SS	VirB-Bep	validated	10.1371/journal.ppat.1003788
BepF	A0A0R4J737	BH13430	Bartonella henselae Houston-1	NC_005956.1	T4SS	VirB-Bep	validated	10.1371/journal.ppat.1004187
BepG	A0A0H3M6L4	BH13440	Bartonella henselae Houston-1	NC_005956.1	T4SS	VirB-Bep	validated	10.1371/journal.ppat.1004187
BepH	-	BH13450	Bartonella henselae Houston-1	NC_005956.1	T4SS	VirB-Bep	predicted	10.1073/pnas.2310348121
TrwJ1	-	BH09700	Bartonella henselae Houston-1	NC_005956.1	T4SS	Trw	predicted	10.1111/cmi.12530
VbhT	E6Z0R3	B11C_100026	Bartonella schoenbuchensis R1	NZ_CP019789.1	T4SS	VbhB-VbhT	validated	10.1128/mBio.00405-13
VirD2	P18592	Atu6182	Agrobacterium tumefaciens C58	NC_003065.3	T4SS	VirB-Ti	validated	10.1016/j.cell.2005.08.046
VirE2	P08062	Atu6190	Agrobacterium tumefaciens C58	NC_003065.3	T4SS	VirB-Ti	validated	10.1126/science.290.5493.979
VirE3	P08061	Atu6188	Agrobacterium tumefaciens C58	NC_003065.3	T4SS	VirB-Ti	validated	10.1111/j.1365-2958.2005.04686.x
VirF	Q7D2D9	Atu6154	Agrobacterium tumefaciens C58	NC_003065.3	T4SS	VirB-Ti	validated	10.1126/science.290.5493.979
VirD5	-	-	Agrobacterium tumefaciens (non-C58)	-	T4SS	VirB-Ti	validated	10.1016/j.jbiotec.2014.04.026
GALLS	-	-	Agrobacterium rhizogenes	-	T4SS	VirB-Ri	validated	10.1094/MPMI-19-1145
CagA	P55980	HP_0547	Helicobacter pylori 26695	NC_000915.1	T4SS	Cag	validated	10.1126/science.287.5457.1497
CagF	O25257	HP_0543	Helicobacter pylori 26695	NC_000915.1	T4SS	Cag	validated	10.1074/jbc.M501633200
TcpB_Btp1	Q8YF53	BMEI1674	Brucella melitensis 16M	NC_003317.1	T4SS	VirB	validated	10.1128/IAI.00750-12
TcpB_Btp1_Ba	Q2YPC4	BAB1_0279	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1128/IAI.00750-12
BtpB	-	BAB1_0782	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1128/IAI.00750-12
RicA_Ba	Q2YQG1	BAB1_1279	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1111/j.1462-5822.2010.01539.x
NyxA	-	BAB1_0244	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1371/journal.ppat.1009800
NyxB	-	BAB1_1090	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1371/journal.ppat.1009800
BspA	-	BAB1_1671	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1371/journal.ppat.1003473
BspB	-	BAB1_1232	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1371/journal.ppat.1003473
BspC	-	BAB1_1325	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1371/journal.ppat.1003473
BspE	-	BAB1_1043	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1371/journal.ppat.1003473
BspF	-	BAB1_1305	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1371/journal.ppat.1003473
BspK	-	BAB1_0260	Brucella abortus 2308	NC_007618.1	T4SS	VirB	predicted	10.1371/journal.ppat.1003473
BspL	-	BAB1_0466	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1371/journal.pone.0079361
VceA	-	BAB2_0466	Brucella abortus 2308	NC_007624.1	T4SS	VirB	validated	10.1111/j.1462-5822.2008.01172.x
VceC	-	BAB2_0123	Brucella abortus 2308	NC_007624.1	T4SS	VirB	validated	10.1111/j.1462-5822.2008.01172.x
BPE043	-	BAB2_0541	Brucella abortus 2308	NC_007624.1	T4SS	VirB	validated	10.1111/cmi.12077
BPE123	-	BAB1_0123	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1111/cmi.12077
BPE275	-	BAB1_0275	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1111/cmi.12077
BPE005	-	BAB1_0005	Brucella abortus 2308	NC_007618.1	T4SS	VirB	predicted	10.1111/cmi.12077
SepA	-	BAB1_1492	Brucella abortus 2308	NC_007618.1	T4SS	VirB	validated	10.1111/cmi.12077
BspH	-	BAB1_0850	Brucella abortus 2308	NC_007618.1	T4SS	VirB	predicted	10.1371/journal.ppat.1003473
BspI	-	BAB1_0789	Brucella abortus 2308	NC_007618.1	T4SS	VirB	predicted	10.1371/journal.ppat.1003473
BspJ	-	BAB1_0073	Brucella abortus 2308	NC_007618.1	T4SS	VirB	predicted	10.1371/journal.ppat.1003473
AnkA	Q2GJY2	APH_0740	Anaplasma phagocytophilum HZ	NC_007797.1	T4SS	VirB	validated	10.1371/journal.ppat.1000142
Ats-1	Q2GJL5	APH_0859	Anaplasma phagocytophilum HZ	NC_007797.1	T4SS	VirB	validated	10.1371/journal.ppat.1000774
AmpA	Q2GIB5	APH_1387	Anaplasma phagocytophilum HZ	NC_007797.1	T4SS	VirB	validated	10.1371/journal.ppat.1001284
AptA	-	APH_0233	Anaplasma phagocytophilum HZ	NC_007797.1	T4SS	VirB	validated	10.1111/j.1462-5822.2011.01642.x
APH_0455	-	APH_0455	Anaplasma phagocytophilum HZ	NC_007797.1	T4SS	VirB	predicted	10.1111/cmi.13405
APH_0915	-	APH_0915	Anaplasma phagocytophilum HZ	NC_007797.1	T4SS	VirB	predicted	10.1111/cmi.13405
HGE-14	-	APH_0625	Anaplasma phagocytophilum HZ	NC_007797.1	T4SS	VirB	predicted	10.1099/mic.0.000186
TRP120	Q2GI62	ECH_0039	Ehrlichia chaffeensis Arkansas	NC_007799.1	T4SS	VirB	validated	10.1371/journal.ppat.1003666
TRP47	Q2GHU2	ECH_0166	Ehrlichia chaffeensis Arkansas	NC_007799.1	T4SS	VirB	validated	10.1128/IAI.05225-11
TRP32	Q2GHT8	ECH_0170	Ehrlichia chaffeensis Arkansas	NC_007799.1	T4SS	VirB	validated	10.1128/IAI.00153-10
Etf-1	Q2GG12	ECH_0825	Ehrlichia chaffeensis Arkansas	NC_007799.1	T4SS	VirB	validated	10.1073/pnas.1218674110
Etf-2	-	ECH_1027	Ehrlichia chaffeensis Arkansas	NC_007799.1	T4SS	VirB	validated	10.1371/journal.ppat.1005523
